Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Region.1,longitude,latitude,NN_Prediction,Cluster_ID,Impact_Zone,is_anomaly,Anomaly_Flag,Regression_Prediction
Andhra Pradesh,2019-05-31, Monthly,3.65,11999139.0,43.24,Rural,,,,8.82603,0,Low Impact,1,0,11.323189918843937
Andhra Pradesh,2019-06-30, Monthly,3.05,11755881.0,42.05,Rural,,,,9.457883,0,Low Impact,1,0,11.425720498659924
Andhra Pradesh,2019-07-31, Monthly,3.75,12086707.0,43.5,Rural,,,,8.68638,0,Low Impact,1,0,11.292495712738845
Andhra Pradesh,2019-08-31, Monthly,3.32,12285693.0,43.97,Rural,,,,8.430083,0,Low Impact,1,0,11.22720664919424
Andhra Pradesh,2019-09-30, Monthly,5.17,12256762.0,44.68,Rural,,,,8.192707,0,Low Impact,1,0,11.207970925593116
Andhra Pradesh,2019-10-31, Monthly,3.52,12017412.0,43.01,Rural,,,,8.925902,0,Low Impact,1,0,11.327276707831292
Andhra Pradesh,2019-11-30, Monthly,4.12,11397681.0,41.0,Rural,,,,10.013236,0,Low Impact,1,0,11.550776503721753
Andhra Pradesh,2019-12-31, Monthly,4.38,12528395.0,45.14,Rural,,,,7.9146023,0,Low Impact,1,0,11.125548223628751
Andhra Pradesh,2020-01-31, Monthly,4.84,12016676.0,43.46,Rural,,,,8.7310915,0,Low Impact,1,0,11.310844576956624
Andhra Pradesh,2020-02-29, Monthly,5.91,11723617.0,42.83,Rural,,,,9.108106,0,Low Impact,1,0,11.404704097072521
Andhra Pradesh,2020-03-31, Monthly,4.06,11359660.0,40.66,Rural,,,,10.154309,0,Low Impact,1,0,11.572486214131125
Andhra Pradesh,2020-04-30, Monthly,16.29,8792827.0,36.03,Rural,,,,12.445371,0,Low Impact,1,0,12.361802433164266
Andhra Pradesh,2020-05-31, Monthly,14.46,9526902.0,38.16,Rural,,,,11.476436,0,Low Impact,1,0,12.106324713715003
Andhra Pradesh,2020-06-30, Monthly,0.85,15572975.0,53.76,Rural,,,,5.596485,1,Moderate Impact,1,0,10.073858611055059
Assam,2019-05-31, Monthly,4.29,11749334.0,57.39,Rural,,,,8.812633,1,Moderate Impact,1,0,10.861100015902732
Assam,2019-06-30, Monthly,5.08,8923222.0,43.87,Rural,,,,10.57035,0,Low Impact,1,0,12.0410129492658
Assam,2019-07-31, Monthly,4.26,9911534.0,48.21,Rural,,,,9.171533,0,Low Impact,1,0,11.642711398885456
Assam,2019-08-31, Monthly,5.79,9292039.0,45.83,Rural,,,,9.880297,0,Low Impact,1,0,11.879810998057504
Assam,2019-09-30, Monthly,4.46,11468349.0,55.67,Rural,,,,8.659323,1,Moderate Impact,1,0,10.99228235383378
Assam,2019-10-31, Monthly,4.65,8395906.0,40.76,Rural,,,,11.365381,0,Low Impact,1,0,12.28284822017862
Assam,2019-11-30, Monthly,4.66,9625362.0,46.64,Rural,,,,9.489606,0,Low Impact,1,0,11.769606948513086
Assam,2020-01-31, Monthly,4.29,11420996.0,54.9,Rural,,,,8.538293,1,Moderate Impact,1,0,11.032111665933487
Assam,2020-02-29, Monthly,3.26,8462814.0,40.17,Rural,,,,11.410647,0,Low Impact,1,0,12.288505011883963
Assam,2020-03-31, Monthly,3.77,9878742.0,47.05,Rural,,,,9.257213,0,Low Impact,1,0,11.693427410553237
Assam,2020-05-31, Monthly,9.38,9926176.0,50.0,Rural,,,,9.169297,1,Moderate Impact,1,0,11.57311500464099
Assam,2020-06-30, Monthly,0.0,7544937.0,34.38,Rural,,,,13.3327265,0,Low Impact,1,0,12.723356111581943
Bihar,2019-05-31, Monthly,9.27,24322330.0,39.75,Rural,,,,9.876427,0,Low Impact,1,0,8.482996750284054
Bihar,2019-06-30, Monthly,10.2,24097712.0,39.71,Rural,,,,9.906967,0,Low Impact,1,0,8.538590038457357
Bihar,2019-07-31, Monthly,13.44,23248875.0,39.66,Rural,,,,9.963484,0,Low Impact,1,0,8.744944613037624
Bihar,2019-08-31, Monthly,11.0,22260203.0,36.85,Rural,,,,11.665569,0,Low Impact,1,0,9.086860753088136
Bihar,2019-09-30, Monthly,8.87,23905700.0,38.57,Rural,,,,10.576877,0,Low Impact,1,0,8.626928498149848
Bihar,2019-10-31, Monthly,12.47,24053140.0,40.31,Rural,,,,9.559086,0,Low Impact,1,0,8.52718276735742
Bihar,2019-11-30, Monthly,12.4,22445989.0,37.51,Rural,,,,11.261897,0,Low Impact,1,0,9.017739065887536
Bihar,2019-12-31, Monthly,10.16,22914530.0,37.25,Rural,,,,11.389629,0,Low Impact,1,0,8.914450729078402
Bihar,2020-01-31, Monthly,9.13,23409006.0,37.54,Rural,,,,11.193308,0,Low Impact,1,0,8.784613465814573
Bihar,2020-02-29, Monthly,9.61,23168192.0,37.28,Rural,,,,11.357118,0,Low Impact,1,0,8.852229010670584
Bihar,2020-03-31, Monthly,15.39,22667882.0,38.88,Rural,,,,10.43636,0,Low Impact,1,0,8.913712143126725
Bihar,2020-04-30, Monthly,45.09,14645275.0,38.63,Rural,,,,11.109164,2,High Impact,-1,1,10.855814803467332
Bihar,2020-05-31, Monthly,47.26,14050319.0,38.5,Rural,,,,11.16922,2,High Impact,-1,1,11.003954985112603
Bihar,2020-06-30, Monthly,20.49,20622566.0,37.4,Rural,,,,11.435549,2,High Impact,1,0,9.461113840053308
Chhattisgarh,2019-05-31, Monthly,9.82,6259019.0,42.89,Rural,,,,12.208882,0,Low Impact,1,0,12.719067253290666
